age,gender,annual_income,spending_score,age_group,income_category,spending_category,customer_segment
42,Male,116,67.4,Middle Age,Medium,Medium,Average
23,Female,65,63.9,Young,Low,Medium,Average
53,Female,34,42.7,Middle Age,Low,Low,Budget
36,Female,77,47.6,Adult,Low,Low,Budget
58,Male,41,30.0,Middle Age,Low,Low,Budget
57,Female,92,48.0,Middle Age,Medium,Low,Average
41,Male,45,44.6,Middle Age,Low,Low,Budget
54,Female,25,20.2,Middle Age,Low,Low,Budget
30,Female,103,68.4,Adult,Medium,Medium,Average
63,Male,124,46.9,Senior,High,Low,Careful
22,Female,109,65.8,Young,Medium,Medium,Average
20,Female,32,55.6,Young,Low,Medium,Average
60,Female,144,63.1,Middle Age,High,Medium,Average
32,Male,102,68.9,Adult,Medium,Medium,Average
67,Male,18,23.1,Senior,Low,Low,Budget
36,Female,122,82.1,Adult,High,High spender,Average
23,Male,140,93.2,Young,High,High spender,Average
32,Male,42,51.6,Adult,Low,Medium,Average
24,Male,125,68.0,Young,High,Medium,Average
42,Female,107,52.9,Middle Age,Medium,Medium,Average
35,Male,132,81.0,Adult,High,High spender,Average
47,Female,54,47.9,Middle Age,Low,Low,Budget
58,Male,126,77.9,Middle Age,High,High spender,Average
41,Male,60,23.1,Middle Age,Low,Low,Budget
28,Female,148,63.5,Adult,High,Medium,Average
41,Female,84,56.5,Middle Age,Medium,Medium,Average
40,Male,138,90.0,Adult,High,High spender,Average
31,Female,134,94.2,Adult,High,High spender,Average
60,Female,126,72.3,Middle Age,High,Medium,Average
35,Male,83,50.1,Adult,Low,Low,Budget
62,Female,97,34.1,Senior,Medium,Low,Average
61,Male,77,47.8,Senior,Low,Low,Budget
59,Male,37,42.0,Middle Age,Low,Low,Budget
22,Female,86,55.5,Young,Medium,Medium,Average
56,Male,130,73.0,Middle Age,High,High spender,Average
58,Male,77,59.5,Middle Age,Low,Medium,Average
28,Male,133,56.6,Adult,High,Medium,Average
52,Female,112,71.0,Middle Age,Medium,Medium,Average
64,Female,101,42.9,Senior,Medium,Low,Average
33,Male,22,23.9,Adult,Low,Low,Budget
28,Female,141,63.8,Adult,High,Medium,Average
47,Male,98,56.3,Middle Age,Medium,Medium,Average
42,Female,61,44.4,Middle Age,Low,Low,Budget
35,Female,139,86.8,Adult,High,High spender,Average
58,Female,69,27.0,Middle Age,Low,Low,Budget
62,Male,105,36.6,Senior,Medium,Low,Average
53,Male,81,61.3,Middle Age,Low,Medium,Average
32,Female,102,66.0,Adult,Medium,Medium,Average
61,Female,86,35.7,Senior,Medium,Low,Average
38,Male,85,69.1,Adult,Medium,Medium,Average
67,Male,17,2.4,Senior,Low,Low,Budget
67,Female,147,67.1,Senior,High,Medium,Average
21,Male,63,39.1,Young,Low,Low,Budget
32,Female,36,25.0,Adult,Low,Low,Budget
70,Male,76,19.8,Senior,Low,Low,Budget
20,Female,119,83.8,Young,High,High spender,Average
69,Female,140,81.3,Senior,High,High spender,Average
38,Male,76,56.1,Adult,Low,Medium,Average
43,Male,136,57.8,Middle Age,High,Medium,Average
35,Male,140,73.2,Adult,High,High spender,Average
22,Male,129,68.8,Young,High,Medium,Average
31,Male,19,31.8,Adult,Low,Low,Budget
54,Female,38,34.6,Middle Age,Low,Low,Budget
63,Male,90,44.1,Senior,Medium,Low,Average
38,Female,71,37.0,Adult,Low,Low,Budget
31,Male,118,81.7,Adult,High,High spender,Average
59,Male,77,31.1,Middle Age,Low,Low,Budget
49,Female,93,47.9,Middle Age,Medium,Low,Average
43,Female,109,60.0,Middle Age,Medium,Medium,Average
59,Male,136,56.2,Middle Age,High,Medium,Average
47,Female,150,78.8,Middle Age,High,High spender,Average
27,Male,103,66.1,Adult,Medium,Medium,Average
34,Male,123,88.7,Adult,High,High spender,Average
26,Male,99,53.6,Adult,Medium,Medium,Average
33,Female,105,81.2,Adult,Medium,High spender,Average
65,Female,131,69.2,Senior,High,Medium,Average
53,Male,84,38.7,Middle Age,Medium,Low,Average
52,Male,93,54.2,Middle Age,Medium,Medium,Average
34,Male,79,58.8,Adult,Low,Medium,Average
65,Male,74,49.9,Senior,Low,Low,Budget
55,Female,45,13.5,Middle Age,Low,Low,Budget
45,Male,64,46.4,Middle Age,Low,Low,Budget
55,Male,95,51.4,Middle Age,Medium,Medium,Average
43,Female,45,51.3,Middle Age,Low,Low,Budget
41,Female,62,33.9,Middle Age,Low,Low,Budget
32,Male,64,58.0,Adult,Low,Medium,Average
26,Female,70,54.5,Adult,Low,Medium,Average
50,Male,138,64.3,Middle Age,High,Medium,Average
49,Male,85,54.8,Middle Age,Medium,Medium,Average
23,Female,149,87.5,Young,High,High spender,Average
66,Male,87,52.1,Senior,Medium,Medium,Average
21,Female,40,48.5,Young,Low,Low,Budget
25,Male,64,54.5,Young,Low,Medium,Average
27,Male,90,71.4,Adult,Medium,Medium,Average
58,Female,73,46.9,Middle Age,Low,Low,Budget
28,Female,107,80.5,Adult,Medium,High spender,Average
68,Female,60,39.5,Senior,Low,Low,Budget
61,Male,92,40.9,Senior,Medium,Low,Average
45,Male,18,21.3,Middle Age,Low,Low,Budget
56,Male,47,35.2,Middle Age,Low,Low,Budget
22,Male,85,66.7,Young,Medium,Medium,Average
42,Female,26,11.4,Middle Age,Low,Low,Budget
42,Female,28,20.4,Middle Age,Low,Low,Budget
56,Female,89,58.7,Middle Age,Medium,Medium,Average
47,Male,47,21.7,Middle Age,Low,Low,Budget
51,Female,140,56.0,Middle Age,High,Medium,Average
34,Female,41,37.8,Adult,Low,Low,Budget
53,Female,18,40.2,Middle Age,Low,Low,Budget
18,Female,87,60.6,Young,Medium,Medium,Average
61,Male,135,82.2,Senior,High,High spender,Average
64,Male,137,78.8,Senior,High,High spender,Average
25,Female,127,63.6,Young,High,Medium,Average
61,Male,102,65.5,Senior,Medium,Medium,Average
52,Female,62,38.5,Middle Age,Low,Low,Budget
66,Male,28,33.7,Senior,Low,Low,Budget
35,Male,79,61.0,Adult,Low,Medium,Average
67,Female,137,58.2,Senior,High,Medium,Average
59,Female,44,14.5,Middle Age,Low,Low,Budget
39,Female,31,49.2,Adult,Low,Low,Budget
25,Female,117,54.9,Young,High,Medium,Average
36,Male,140,93.9,Adult,High,High spender,Average
45,Female,33,44.1,Middle Age,Low,Low,Budget
28,Male,28,41.8,Adult,Low,Low,Budget
47,Female,53,56.3,Middle Age,Low,Medium,Average
18,Male,53,64.5,Young,Low,Medium,Average
64,Female,92,59.8,Senior,Medium,Medium,Average
64,Male,36,19.8,Senior,Low,Low,Budget
34,Male,78,62.6,Adult,Low,Medium,Average
50,Female,45,13.6,Middle Age,Low,Low,Budget
66,Female,121,60.1,Senior,High,Medium,Average
29,Male,72,48.3,Adult,Low,Low,Budget
50,Female,148,81.1,Middle Age,High,High spender,Average
24,Female,112,74.5,Young,Medium,High spender,Average
58,Male,130,68.0,Middle Age,High,Medium,Average
37,Female,128,83.0,Adult,High,High spender,Average
58,Female,91,66.6,Middle Age,Medium,Medium,Average
50,Female,124,48.9,Middle Age,High,Low,Careful
56,Female,93,39.8,Middle Age,Medium,Low,Average
30,Female,30,14.0,Adult,Low,Low,Budget
27,Female,40,53.3,Adult,Low,Medium,Average
41,Male,68,47.4,Middle Age,Low,Low,Budget
66,Male,69,54.4,Senior,Low,Medium,Average
28,Female,82,43.3,Adult,Low,Low,Budget
52,Female,35,10.9,Middle Age,Low,Low,Budget
67,Male,55,44.9,Senior,Low,Low,Budget
51,Female,76,61.5,Middle Age,Low,Medium,Average
18,Female,59,40.3,Young,Low,Low,Budget
56,Male,34,23.1,Middle Age,Low,Low,Budget
38,Female,55,26.2,Adult,Low,Low,Budget
49,Female,15,39.2,Middle Age,Low,Low,Budget
19,Male,119,64.1,Young,High,Medium,Average
25,Female,130,74.2,Young,High,High spender,Average
41,Female,135,55.6,Middle Age,High,Medium,Average
69,Female,89,60.4,Senior,Medium,Medium,Average
37,Female,23,13.5,Adult,Low,Low,Budget
33,Female,74,47.8,Adult,Low,Low,Budget
21,Male,88,65.7,Young,Medium,Medium,Average
33,Female,87,64.6,Adult,Medium,Medium,Average
54,Male,131,84.0,Middle Age,High,High spender,Average
23,Male,33,33.1,Young,Low,Low,Budget
23,Female,74,62.4,Young,Low,Medium,Average
64,Female,82,29.8,Senior,Low,Low,Budget
49,Male,65,37.9,Middle Age,Low,Low,Budget
70,Male,123,42.2,Senior,High,Low,Careful
22,Female,44,40.6,Young,Low,Low,Budget
66,Male,72,35.3,Senior,Low,Low,Budget
52,Male,53,53.7,Middle Age,Low,Medium,Average
67,Male,83,24.4,Senior,Low,Low,Budget
26,Male,51,37.4,Adult,Low,Low,Budget
26,Male,33,33.1,Adult,Low,Low,Budget
60,Male,30,42.0,Middle Age,Low,Low,Budget
48,Female,57,52.6,Middle Age,Low,Medium,Average
53,Male,93,35.3,Middle Age,Medium,Low,Average
28,Female,88,64.2,Adult,Medium,Medium,Average
34,Female,127,72.4,Adult,High,Medium,Average
51,Male,46,52.2,Middle Age,Low,Medium,Average
56,Female,134,61.1,Middle Age,High,Medium,Average
45,Female,92,49.2,Middle Age,Medium,Low,Average
31,Female,118,55.5,Adult,High,Medium,Average
52,Male,84,32.9,Middle Age,Medium,Low,Average
66,Male,143,81.3,Senior,High,High spender,Average
64,Male,141,65.4,Senior,High,Medium,Average
62,Male,127,68.7,Senior,High,Medium,Average
30,Female,35,40.7,Adult,Low,Low,Budget
63,Male,25,25.0,Senior,Low,Low,Budget
37,Male,125,49.8,Adult,High,Low,Careful
43,Female,97,67.4,Middle Age,Medium,Medium,Average
60,Male,79,33.3,Middle Age,Low,Low,Budget
59,Male,21,5.7,Middle Age,Low,Low,Budget
41,Male,38,35.5,Middle Age,Low,Low,Budget
46,Female,73,28.1,Middle Age,Low,Low,Budget
51,Male,20,33.3,Middle Age,Low,Low,Budget
46,Female,83,37.7,Middle Age,Low,Low,Budget
25,Female,25,21.1,Young,Low,Low,Budget
33,Female,59,58.5,Adult,Low,Medium,Average
32,Female,135,67.5,Adult,High,Medium,Average
22,Female,147,68.1,Young,High,Medium,Average
39,Male,128,85.5,Adult,High,High spender,Average
19,Female,86,38.8,Young,Medium,Low,Average
55,Female,61,52.2,Middle Age,Low,Medium,Average
53,Female,126,50.3,Middle Age,High,Low,Careful
32,Male,140,61.6,Adult,High,Medium,Average
55,Female,38,18.7,Middle Age,Low,Low,Budget
32,Female,135,61.4,Adult,High,Medium,Average
18,Male,104,72.6,Young,Medium,Medium,Average
22,Female,119,52.0,Young,High,Medium,Average
63,Female,100,31.7,Senior,Medium,Low,Average
58,Male,97,63.0,Middle Age,Medium,Medium,Average
21,Female,41,29.6,Young,Low,Low,Budget
32,Male,56,35.8,Adult,Low,Low,Budget
22,Female,99,50.0,Young,Medium,Low,Average
20,Female,120,54.1,Young,High,Medium,Average
39,Female,141,84.4,Adult,High,High spender,Average
22,Male,88,59.6,Young,Medium,Medium,Average
50,Male,117,71.6,Middle Age,High,Medium,Average
33,Male,24,28.7,Adult,Low,Low,Budget
35,Male,131,83.0,Adult,High,High spender,Average
60,Female,37,27.3,Middle Age,Low,Low,Budget
49,Male,95,37.7,Middle Age,Medium,Low,Average
31,Male,79,52.5,Adult,Low,Medium,Average
52,Male,97,71.0,Middle Age,Medium,Medium,Average
26,Female,44,21.5,Adult,Low,Low,Budget
64,Female,118,69.3,Senior,High,Medium,Average
54,Female,146,86.9,Middle Age,High,High spender,Average
54,Female,15,20.7,Middle Age,Low,Low,Budget
48,Female,133,67.1,Middle Age,High,Medium,Average
33,Male,120,86.7,Adult,High,High spender,Average
68,Male,28,3.2,Senior,Low,Low,Budget
48,Female,63,40.0,Middle Age,Low,Low,Budget
69,Female,147,64.2,Senior,High,Medium,Average
44,Male,107,67.0,Middle Age,Medium,Medium,Average
30,Female,142,77.4,Adult,High,High spender,Average
24,Female,128,90.4,Young,High,High spender,Average
24,Male,28,16.9,Young,Low,Low,Budget
60,Female,67,22.0,Middle Age,Low,Low,Budget
45,Female,83,54.0,Middle Age,Low,Medium,Average
40,Female,48,19.8,Adult,Low,Low,Budget
45,Female,88,42.7,Middle Age,Medium,Low,Average
